age,sex,race,childs,marital,happy,wwwhr
Ages 40 - 49,Male,White,3,Married,Pretty happy,15
Ages 60 - 69,Male,White,0,Never married,Pretty happy,5
Ages 70 - 79,Male,White,2,Married,Very happy,NA
Ages 40 - 49,Female,White,4,Married,Pretty happy,7
Ages 50 - 59,Female,White,2,Married,Very happy,NA
Ages 50 - 59,Female,White,2,Married,Very happy,2
Ages 50 - 59,Male,White,2,Married,Pretty happy,5
Ages 21 - 29,Female,Other,3,Married,Very happy,NA
Ages 40 - 49,Male,Black,3,Married,Pretty happy,7
Ages 70 - 79,Male,White,4,Divorced,Pretty happy,NA
Ages 30 - 39,Female,Black,5,Never married,NA,7
Ages 80 - 88,Female,White,4,Widowed,Not too happy,NA
Ages 30 - 39,Male,Black,3,Married,Very happy,50
Ages 60 - 69,Female,Black,5,Married,Very happy,NA
Ages 70 - 79,Male,White,7,Divorced,Pretty happy,1
Ages 30 - 39,Female,White,2,Never married,Pretty happy,NA
Ages 50 - 59,Male,White,6,Married,Very happy,NA
Ages 60 - 69,Female,Other,5,Widowed,Pretty happy,4
Ages 30 - 39,Male,Black,0,Never married,Pretty happy,15
Ages 40 - 49,Male,Black,2,Divorced,Pretty happy,14
Ages 50 - 59,Female,White,0,Never married,Pretty happy,15
Ages 30 - 39,Female,Black,3,Never married,Pretty happy,NA
Ages 21 - 29,Female,Other,2,Never married,Very happy,1
Ages 30 - 39,Female,White,2,Married,Very happy,NA
Ages 21 - 29,Female,White,2,Divorced,Pretty happy,NA
Ages 70 - 79,Female,White,8+,Separated,Not too happy,NA
Ages 70 - 79,Male,White,2,Married,Very happy,6
Ages 21 - 29,Male,Black,0,Never married,Not too happy,21
Ages 70 - 79,Male,White,2,Widowed,Pretty happy,0
Ages 70 - 79,Female,White,3,Divorced,Not too happy,NA
Ages 30 - 39,Male,White,0,Never married,Not too happy,25
Ages 60 - 69,Female,White,2,Married,Pretty happy,NA
Ages 50 - 59,Male,White,3,Married,Pretty happy,6
Ages 40 - 49,Male,Black,1,Married,Pretty happy,NA
Ages 50 - 59,Female,White,2,Separated,Not too happy,NA
